region,week,sum_infections,sum_unemployed,sum_deaths,rnd_var
Архангельская,2020-09-07,247.0,559,2.0,44.724137931034484
Архангельская,2020-09-14,1245.0,540,4.0,49.310344827586206
Архангельская,2020-09-21,637.0,463,1.0,49.892857142857146
Архангельская,2020-09-28,712.0,510,1.0,52.43333333333333
Архангельская,2020-10-05,280.0,516,4.0,44.29032258064516
Архангельская,2020-10-12,1324.0,517,8.0,48.266666666666666
Архангельская,2020-10-19,1436.0,496,5.0,53.214285714285715
Архангельская,2020-10-26,1868.0,337,6.0,57.2962962962963
Астраханская,2020-04-06,112.0,812,0.0,50.03125
Астраханская,2020-04-13,435.0,3361,11.0,48.121212121212125
Астраханская,2020-04-20,106.0,3314,3.0,47.39393939393939
Астраханская,2020-04-27,162.0,2173,1.0,64.48484848484848
Астраханская,2020-05-04,67.0,1371,0.0,50.875
Астраханская,2020-05-11,405.0,2092,9.0,45.5
Астраханская,2020-05-18,413.0,1736,4.0,43.303030303030305
Астраханская,2020-05-25,436.0,1882,4.0,56.34375
Астраханская,2020-06-01,251.0,2459,4.0,47.42424242424242
Астраханская,2020-06-08,173.0,1545,2.0,53.53125
Астраханская,2020-06-15,537.0,2144,8.0,70.06060606060606
Астраханская,2020-06-22,412.0,1909,4.0,53.54838709677419
Астраханская,2020-06-29,242.0,1847,2.0,55.78125
Астраханская,2020-07-06,116.0,1854,1.0,51.875
Астраханская,2020-07-13,490.0,1864,13.0,50.303030303030305
Астраханская,2020-07-20,270.0,1733,3.0,46.06060606060606
Астраханская,2020-07-27,224.0,2112,5.0,44.93939393939394
Астраханская,2020-08-03,132.0,1836,3.0,46.6875
Астраханская,2020-08-10,256.0,1671,4.0,43.0
Астраханская,2020-08-17,467.0,1403,9.0,55.4375
Астраханская,2020-08-24,260.0,1279,7.0,45.096774193548384
Астраханская,2020-08-31,248.0,1143,7.0,52.54838709677419
Астраханская,2020-09-07,176.0,1320,0.0,37.41935483870968
Астраханская,2020-09-14,515.0,1186,11.0,44.833333333333336
Астраханская,2020-09-21,348.0,1083,7.0,48.43333333333333
Астраханская,2020-09-28,359.0,1110,13.0,53.8
Астраханская,2020-10-05,155.0,1063,3.0,45.516129032258064
Астраханская,2020-10-12,542.0,956,11.0,46.06666666666667
Астраханская,2020-10-19,499.0,906,12.0,50.645161290322584
Астраханская,2020-10-26,719.0,622,12.0,47.37931034482759
Башкортостан,2020-04-06,189.0,2011,0.0,49.90909090909091
Башкортостан,2020-04-13,419.0,11198,3.0,50.21212121212121
Башкортостан,2020-04-20,190.0,9317,13.0,44.75757575757576
Башкортостан,2020-04-27,273.0,4975,0.0,56.57575757575758
Башкортостан,2020-05-04,196.0,2676,0.0,43.72727272727273
Башкортостан,2020-05-11,408.0,5261,1.0,45.03030303030303
Башкортостан,2020-05-18,650.0,4920,2.0,47.484848484848484
Башкортостан,2020-05-25,617.0,4727,1.0,57.121212121212125
Башкортостан,2020-06-01,488.0,5258,0.0,55.18181818181818
Башкортостан,2020-06-08,211.0,3638,1.0,47.303030303030305
Башкортостан,2020-06-15,520.0,4882,3.0,55.39393939393939
Башкортостан,2020-06-22,412.0,4725,0.0,59.666666666666664
Башкортостан,2020-06-29,356.0,3109,0.0,53.84848484848485
Башкортостан,2020-07-06,227.0,3610,0.0,52.36363636363637
Башкортостан,2020-07-13,453.0,3472,3.0,51.63636363636363
Башкортостан,2020-07-20,381.0,3874,2.0,44.60606060606061
Башкортостан,2020-07-27,259.0,3974,0.0,48.696969696969695
Башкортостан,2020-08-03,138.0,3921,1.0,45.39393939393939
Башкортостан,2020-08-10,338.0,3750,2.0,47.484848484848484
Башкортостан,2020-08-17,419.0,3096,3.0,51.90909090909091
Башкортостан,2020-08-24,234.0,2032,2.0,46.39393939393939
Башкортостан,2020-08-31,228.0,1932,1.0,53.354838709677416
Башкортостан,2020-09-07,233.0,2532,1.0,50.46875
Башкортостан,2020-09-14,428.0,2276,3.0,44.0
Башкортостан,2020-09-21,229.0,2065,2.0,48.515151515151516
Башкортостан,2020-09-28,256.0,1865,6.0,41.625
Башкортостан,2020-10-05,175.0,1666,2.0,53.16129032258065
Башкортостан,2020-10-12,496.0,1893,3.0,58.9375
Башкортостан,2020-10-19,465.0,2006,1.0,47.0
Башкортостан,2020-10-26,525.0,1170,3.0,48.333333333333336
Белгородская,2020-04-06,108.0,407,0.0,46.5625
Белгородская,2020-04-13,498.0,1300,0.0,51.21212121212121
Белгородская,2020-04-20,81.0,1377,2.0,45.21212121212121
Белгородская,2020-04-27,157.0,1497,0.0,53.96875
Белгородская,2020-05-04,86.0,806,2.0,60.84375
Белгородская,2020-05-11,447.0,1717,2.0,51.57575757575758
Белгородская,2020-05-18,622.0,1399,1.0,45.38709677419355
Белгородская,2020-05-25,533.0,1354,6.0,48.875
Белгородская,2020-06-01,485.0,1418,4.0,43.81818181818182
Белгородская,2020-06-08,196.0,737,3.0,50.275862068965516
Белгородская,2020-06-15,661.0,974,3.0,49.67741935483871
Белгородская,2020-06-22,534.0,867,3.0,49.4375
Белгородская,2020-06-29,488.0,761,3.0,47.833333333333336
Белгородская,2020-07-06,168.0,845,3.0,53.766666666666666
Белгородская,2020-07-13,593.0,817,1.0,54.16129032258065
Белгородская,2020-07-20,310.0,669,1.0,52.93103448275862
Белгородская,2020-07-27,298.0,866,3.0,41.0
Белгородская,2020-08-03,168.0,707,1.0,52.13333333333333
Белгородская,2020-08-10,324.0,673,1.0,56.24242424242424
Белгородская,2020-08-17,569.0,578,21.0,41.793103448275865
Белгородская,2020-08-24,312.0,445,0.0,49.56
Белгородская,2020-08-31,291.0,487,2.0,51.407407407407405
Белгородская,2020-09-07,169.0,585,1.0,48.666666666666664
Белгородская,2020-09-14,589.0,447,6.0,47.10344827586207
Белгородская,2020-09-21,349.0,378,2.0,44.2962962962963
Белгородская,2020-09-28,424.0,476,1.0,52.310344827586206
Белгородская,2020-10-05,185.0,426,0.0,48.86206896551724
Белгородская,2020-10-12,626.0,387,18.0,53.61538461538461
Белгородская,2020-10-19,643.0,384,1.0,44.75
