region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths
Нижегородская,63788,39311.0,795.0,33257.0,3202946.0,0.01991541537072433,0.012273388311885371,0.010383253417322677,0.00024820899259619115
Новгородская,14394,8022.0,67.0,5568.0,596508.0,0.024130439155887265,0.01344826892514434,0.009334325776016415,0.00011232037122720903
Новосибирская,100603,16361.0,557.0,13400.0,2798170.0,0.03595314080273893,0.005847035741216581,0.004788844137418384,0.00019905867048821194
Омская,64025,15913.0,403.0,12447.0,1926665.0,0.03323099760466921,0.008259349705319814,0.006460386211406757,0.00020916973111568437
Оренбургская,77988,16727.0,129.0,14452.0,1956835.0,0.03985415224073568,0.00854798692787077,0.007385395293931272,6.592277836404193e-05
Орловская,17575,11661.0,146.0,9549.0,733498.0,0.023960528863064386,0.015897793859015293,0.01301844040474548,0.00019904621416827313
Пензенская,37374,14684.0,172.0,10362.0,1305563.0,0.028626730383750153,0.011247255015652251,0.007936805807149866,0.0001317439296303587
Пермский край,97250,14301.0,479.0,10628.0,2599260.0,0.0374144948947008,0.005501950555158007,0.004088856059032186,0.00018428321907004301
Приморский край,47439,15448.0,168.0,11791.0,1895868.0,0.025022311679927082,0.008148246607886203,0.00621931484681423,8.861376424940977e-05
Псковская,13681,9388.0,60.0,4667.0,626115.0,0.02185061849660206,0.01499405061370515,0.0074539022384066825,9.582904099087228e-05
Ростовская,149789,29246.0,912.0,23322.0,4197821.0,0.035682560071046386,0.006966947852230955,0.005555739513428515,0.00021725557140240138
Рязанская,20656,10277.0,63.0,8133.0,1108847.0,0.01862835900714887,0.009268185782168325,0.0073346458077624774,5.681577350166434e-05
Самарская,66038,16053.0,291.0,14362.0,3179532.0,0.02076972334293223,0.005048856246768392,0.004517016969793039,9.152290337068474e-05
Санкт-Петербург,130101,83734.0,3797.0,48256.0,5398064.0,0.024101418582662227,0.01551185758449696,0.008939501273049004,0.0007034003301924542
Саратовская,75298,19730.0,182.0,13252.0,2421895.0,0.03109053034916873,0.008146513370728293,0.005471748362336105,7.514776652167002e-05
Саха,38946,13696.0,128.0,11054.0,971996.0,0.0400680661237289,0.01409059296540315,0.011372474783846847,0.00013168778472339392
Сахалинская,4892,7911.0,4.0,5563.0,488257.0,0.01001931359919059,0.01620253268258315,0.011393589851246373,8.192406867694677e-06
Свердловская,145076,33476.0,795.0,27815.0,4310681.0,0.03365500717868012,0.007765826327673052,0.006452576750634064,0.00018442561627733529
Севастополь,8219,2854.0,90.0,2056.0,449138.0,0.01829949814978915,0.006354394417751337,0.00457765764642493,0.00020038384639019634
Северная Осетия,30273,6919.0,60.0,5224.0,696837.0,0.04344344516723423,0.009929151293631078,0.007496731660345246,8.610334985082595e-05
Смоленская,21758,8748.0,205.0,6245.0,934889.0,0.02327335116789266,0.00935726059457326,0.006679937404333563,0.00021927736875714657
Ставропольский край,94718,20297.0,411.0,15442.0,2803573.0,0.033784745394537616,0.007239690209600392,0.0055079714350223805,0.00014659864394470911
Тамбовская,13995,9619.0,61.0,7861.0,1006748.0,0.013901194737908592,0.009554526058159539,0.007808309527309714,6.0591131047690186e-05
Татарстан,114889,7909.0,108.0,6464.0,3902888.0,0.029436919532407797,0.002026448107145273,0.0016562094531024207,2.7671816357528066e-05
