,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp,vrp,vrp_norm
17,Ивановская,34966,11268.0,208.0,8648.0,997135.0,0.0350664654234381,0.0113003755760253,0.0086728477086853,0.0002085976322162,37.99880878794481,139.1105517307085,5.345060775021459,1.3839684222263042,14.2,1.7,35.53,5.6,63.6,272000.0,0.27278151905208425
18,Ингушетия,61636,7032.0,84.0,5826.0,507061.0,0.1215553947158231,0.0138681539301977,0.0114897418653771,0.0001656605418283,1.8545548561752427,10.024434929919677,0.5964440370036102,1.0465350867000949,30.5,4.8,48.51,4.6,74.0,73000.0,0.14396689944602326
19,Иркутская,64698,22971.0,491.0,19990.0,2391193.0,0.0270567871351246,0.0096065018591138,0.0083598438101817,0.0002053368339569,39.93752137315768,133.867069701191,5.184275647513859,1.3961279658437364,18.1,2.5,62.48,35.0,71.6,1505.0,0.0006293929431877728
20,Кабардино-Балкария,74951,9417.0,138.0,7177.0,868350.0,0.0863142741981919,0.0108447054759025,0.0082651004779178,0.0001589220936258,10.135415741479758,45.002591121091726,2.115454437901671,1.2239624842619052,24.3,3.4,37.95,13.3,68.7,183000.0,0.21074451546035583
21,Калининградская,44751,7624.0,85.0,5356.0,1012512.0,0.0441979946904333,0.0075297873012863,0.0052898138491198,8.394962232546379e-05,43.934832664089626,192.10537751651336,6.644083784238067,1.423946918212453,13.8,1.6,45.72,8.5,31.4,538000.0,0.5313517271894062
22,Калмыкия,9418,8310.0,106.0,5643.0,271135.0,0.0347354638833053,0.0306489387205635,0.0208125103730613,0.0003909491581684,13.704211431548169,43.4691205488041,2.362163352242476,1.0172434042090168,23.5,3.2,54.03,17.8,68.8,93000.0,0.3430025632987257
23,Калужская,19947,11655.0,82.0,9869.0,1002575.0,0.0198957683963793,0.0116250654564496,0.0098436525945689,8.178939231478942e-05,55.70328052129405,163.30050120938583,5.210651048887941,1.5854984396292588,10.2,1.0,51.18,12.0,56.4,559000.0,0.557564271999601
24,Камчатский край,5072,5673.0,59.0,4781.0,313016.0,0.016203644542132,0.0181236741891788,0.0152739796048764,0.0001884887673473,62.46017922770326,270.1171825082424,5.161606330892044,1.634188038142666,15.0,2.0,27.9,8.7,48.0,294000.0,0.9392491118664861
25,Карачаево-Черкессия,29614,8977.0,26.0,6933.0,465528.0,0.0636137890739117,0.0192834802632709,0.01489276692272,5.585056108332904e-05,6.338443752643888,35.45436579539792,1.88131733280613,1.0625741444424,23.2,3.3,42.38,9.7,61.0,97000.0,0.20836555481088143
26,Карелия,22376,9696.0,56.0,5660.0,614064.0,0.0364391985200239,0.0157898850934104,0.0092172802834883,9.11957059850439e-05,46.44683039443037,145.4848354568905,4.769369114112591,1.4981493304607514,15.7,1.7,41.91,8.7,61.3,319000.0,0.5194898251648037
27,Кемеровская,92002,14704.0,241.0,11569.0,2657854.0,0.0346151443984507,0.0055322828116217,0.0043527597828925,9.067465707296188e-05,46.2985144050468,116.06017486287809,4.753788253289701,1.4405445151354148,14.0,1.5,52.54,16.6,66.2,1038.0,0.00039054063917732124
28,Кировская,30963,12483.0,154.0,8602.0,1262402.0,0.0245270523969385,0.0098882923189285,0.006813994274407,0.0001219896673167,37.53593055471032,110.43075026813963,4.675801853207987,1.353749673641122,14.7,1.5,39.11,12.8,67.6,396000.0,0.31368771595735745
29,Коми,27625,14163.0,273.0,11297.0,820473.0,0.0336696027779098,0.0172619939961461,0.0137688869712958,0.0003327348980405,50.94156618657989,165.45699858496258,4.696880193742373,1.616386637326121,15.5,2.2,49.9,10.4,68.9,612000.0,0.7459112000029252
30,Костромская,22313,7577.0,103.0,4952.0,633385.0,0.0352281787538385,0.011962708305375,0.007818309558957,0.0001626183127165,40.68932902014312,122.05056955879915,4.822703528945931,1.472002061387053,12.6,1.1,43.16,12.8,62.0,204000.0,0.3220789882930603
31,Краснодарский край,224576,16277.0,431.0,10874.0,5675462.0,0.0395696420837634,0.0028679603528311,0.0019159673697048,7.594095423421036e-05,45.789442057790986,143.7428353850312,4.01292114419406,1.658149077028658,10.8,1.5,45.64,7.6,66.1,2617.0,0.00046110783580261835
32,Красноярский край,79762,25800.0,704.0,19589.0,2866255.0,0.0278279497113829,0.0090012926274877,0.006834353537979,0.0002456166670446,43.69029743574191,127.59611409312848,4.078572906491345,1.5070119464611076,17.5,2.8,51.77,5.7,69.1,2723.0,0.0009500201482422184
33,Крым,66344,10274.0,188.0,6814.0,1912622.0,0.0346874604600386,0.0053716834795375,0.0035626485526152,9.829438331254164e-05,19.43673508958496,58.74867067303419,2.67036377645864,1.218789309535027,17.2,1.8,52.74,3.6,42.3,516000.0,0.2697867116450611
34,Курганская,30643,6044.0,91.0,4922.0,827166.0,0.0370457683221989,0.007306876733328,0.0059504380015619,0.0001100141930398,23.93696048122861,76.22170156897165,3.5978240574436127,1.174394463640053,19.6,2.6,44.11,11.6,68.7,242000.0,0.29256521665542345
35,Курская,26617,10867.0,117.0,8632.0,1104008.0,0.0241094267432844,0.0098432257737262,0.0078187839218556,0.0001059774929167,46.27565336568049,116.21202020275214,3.978977974175343,1.6521699494852529,9.9,1.0,48.34,12.7,63.9,536000.0,0.4855037282338534
36,Ленинградская,40051,11802.0,123.0,8789.0,1875872.0,0.0213506038791559,0.0062914740451374,0.0046852876955357,6.556950580849866e-05,54.55042772973428,93.7590624520223,2.8753613006730703,1.592103300385211,8.8,0.8,64.78,11.9,61.7,1246.0,0.0006642244246942222
37,Липецкая,11578,8180.0,94.0,6747.0,1139371.0,0.0101617471394304,0.0071793998618536,0.0059216883701621,8.250166100418565e-05,55.71857271048125,130.7642550143895,4.017458447706212,1.8309958645756663,8.6,1.0,49.39,14.0,59.4,619000.0,0.5432822144850097
38,Магаданская,1369,4027.0,41.0,3178.0,140149.0,0.0097681752991459,0.0287337048427031,0.0226758663993321,0.0002925457905514,91.83022688994606,333.34522543864034,5.143502066667289,2.2580512165212148,9.4,1.1,36.48,17.0,54.6,284000.0,2.0264147443078437
39,Марий Эл,14202,5729.0,65.0,4685.0,679417.0,0.0209032155509797,0.0084322293966739,0.0068956178606069,9.56702584716014e-05,26.051224549533387,90.7174827830331,4.306499224221555,1.1919517793262155,20.200000000000003,3.1,35.78,11.4,63.9,197000.0,0.28995447567546884
40,Мордовия,17348,7890.0,46.0,6352.0,790197.0,0.0219540190610695,0.0099848518787087,0.0080385017913254,5.821333161224353e-05,28.265154983928337,95.94316354023113,4.837429779929468,1.2016512186272512,18.0,2.2,40.87,-2.3,61.3,269000.0,0.3404214392107285
41,Москва,136676,421686.0,6440.0,312389.0,12678079.0,0.0107804975816919,0.0332610326848412,0.0246400894015568,0.0005079633909837,82.66453836021418,858.7323047916013,11.602765869824774,2.4029215682079945,6.6,0.8,97.85,15.9,43.2,19856.0,0.0015661678713312958
42,Московская,191943,84419.0,1574.0,62898.0,7690863.0,0.0249572772262358,0.0109765315023814,0.0081782759620084,0.000204658436901,67.13951988417408,224.6024925941341,4.72379945304928,2.0790025447422256,7.3,0.8,72.03,9.4,61.2,5265.0,0.0006845785707013634
43,Мурманская,12351,19366.0,319.0,17074.0,741404.0,0.0166589335908627,0.0261207115149095,0.0230292795830613,0.0004302647409509,70.38922935035387,239.3256578060005,5.550063085045088,1.918876413903461,10.8,0.9,54.08,13.4,64.8,790000.0,1.065545910192014
44,Ненецкий АО,820,431.0,0.0,242.0,44111.0,0.0185894674797669,0.0097708054680238,0.0054861599147604,0.0,81.75203589583901,208.81412799528465,2.566017050266625,2.918012098212559,9.4,1.5,63.3,9.9,48.9,230000.0,5.214118927251707
45,Нижегородская,63788,39311.0,795.0,33257.0,3202946.0,0.0199154153707243,0.0122733883118853,0.0103832534173226,0.0002482089925961,52.45348450905351,176.7169974142555,5.247993508623477,1.6852148477136442,9.5,1.2,49.36,14.6,66.2,1587.0,0.0004954813474844721
46,Новгородская,14394,8022.0,67.0,5568.0,596508.0,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.97,16.3,59.4,280000.0,0.4693985663226646
47,Новосибирская,100603,16361.0,557.0,13400.0,2798170.0,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1,1357.0,0.00048495981302065284
48,Омская,64025,15913.0,403.0,12447.0,1926665.0,0.0332309976046692,0.0082593497053198,0.0064603862114067,0.0002091697311156,40.789052607692575,116.33470271168056,4.3548215434484,1.5029960737691228,13.9,1.9,42.5,6.5,67.6,763000.0,0.39602110382448424
49,Оренбургская,77988,16727.0,129.0,14452.0,1956835.0,0.0398541522407356,0.0085479869278707,0.0073853952939312,6.592277836404193e-05,40.23056850747724,106.1131878773632,4.346273784387028,1.4136357183547392,14.3,1.9,44.31,17.8,68.2,1051.0,0.0005370917834155664
50,Орловская,17575,11661.0,146.0,9549.0,733498.0,0.0239605288630643,0.0158977938590152,0.0130184404047454,0.0001990462141682,41.256683560355135,127.4073003607372,4.919200786128849,1.5132334172604365,13.7,1.6,40.78,8.3,67.2,284000.0,0.38718578646431207
