,region,unemployed,infections,deaths,healed,population,procent_unemployed,procent_infections,procent_healed,procent_deaths,depo_mean_20,depo_salary_20,income_fix_20,poverty_proc_20,ex_poverty_proc_20,social_exp_20,growth_social_exp_20,soc_in_total_exp_20
29,Коми,27625,14163.0,273.0,11297.0,820473.0,0.0336696027779098,0.0172619939961461,0.0137688869712958,0.0003327348980405,191.17245787190103,5.153139511214169,1.616386637326121,15.5,2.2,63.17,2.1,70.1
30,Костромская,22313,7577.0,103.0,4952.0,633385.0,0.0352281787538385,0.011962708305375,0.007818309558957,0.0001626183127165,140.9798813856272,5.190191765768459,1.472002061387053,12.6,1.1,55.24,8.3,61.4
31,Краснодарский край,224576,16277.0,431.0,10874.0,5675462.0,0.0395696420837634,0.0028679603528311,0.0019159673697048,7.594095423421036e-05,172.08921898814327,4.366084459930058,1.658149077028658,10.8,1.5,58.78,4.7,69.4
32,Красноярский край,79762,25800.0,704.0,19589.0,2866255.0,0.0278279497113829,0.0090012926274877,0.006834353537979,0.0002456166670446,150.25951548006424,4.380552322203525,1.5070119464611076,17.5,2.8,66.22,9.1,69.5
33,Крым,66344,10274.0,188.0,6814.0,1912622.0,0.0346874604600386,0.0053716834795375,0.0035626485526152,9.829438331254164e-05,71.88135327606861,2.907086730744396,1.218789309535027,17.2,1.8,72.21,12.9,50.5
34,Курганская,30643,6044.0,91.0,4922.0,827166.0,0.0370457683221989,0.007306876733328,0.0059504380015619,0.0001100141930398,88.21847856628023,3.88957501697608,1.174394463640053,19.6,2.6,55.03,11.3,67.9
35,Курская,26617,10867.0,117.0,8632.0,1104008.0,0.0241094267432844,0.0098432257737262,0.0078187839218556,0.0001059774929167,129.07300399092375,4.117817961107792,1.6521699494852529,9.9,1.0,67.96,20.2,66.6
36,Ленинградская,40051,11802.0,123.0,8789.0,1875872.0,0.0213506038791559,0.0062914740451374,0.0046852876955357,6.556950580849866e-05,111.19235847416748,3.145113946771722,1.592103300385211,8.8,0.8,77.78,1.8,61.6
37,Липецкая,11578,8180.0,94.0,6747.0,1139371.0,0.0101617471394304,0.0071793998618536,0.0059216883701621,8.250166100418565e-05,142.88791269571135,4.242924649668135,1.8309958645756663,8.6,1.0,60.17,5.1,62.4
38,Магаданская,1369,4027.0,41.0,3178.0,140149.0,0.0097681752991459,0.0287337048427031,0.0226758663993321,0.0002925457905514,383.4817382798452,5.347283015534983,2.2580512165212148,9.4,1.1,51.9,12.1,57.7
39,Марий Эл,14202,5729.0,65.0,4685.0,679417.0,0.0209032155509797,0.0084322293966739,0.0068956178606069,9.56702584716014e-05,106.55203662791044,4.7462988764966,1.1919517793262155,20.200000000000003,3.1,53.38,11.5,64.4
40,Мордовия,17348,7890.0,46.0,6352.0,790197.0,0.0219540190610695,0.0099848518787087,0.0080385017913254,5.821333161224353e-05,104.401353077481,4.789162736644465,1.2016512186272512,18.0,2.2,59.74,10.4,64.0
41,Москва,136676,421686.0,6440.0,312389.0,12678079.0,0.0107804975816919,0.0332610326848412,0.0246400894015568,0.0005079633909837,1058.3053405557466,12.739615520942635,2.4029215682079945,6.6,0.8,133.72,7.2,46.1
42,Московская,191943,84419.0,1574.0,62898.0,7690863.0,0.0249572772262358,0.0109765315023814,0.0081782759620084,0.000204658436901,260.6209068717529,5.096896967662976,2.0790025447422256,7.3,0.8,82.67,-0.7,63.3
43,Мурманская,12351,19366.0,319.0,17074.0,741404.0,0.0166589335908627,0.0261207115149095,0.0230292795830613,0.0004302647409509,274.0617631647891,5.62131852083499,1.918876413903461,10.8,0.9,70.02,8.4,65.5
44,Ненецкий АО,820,431.0,0.0,242.0,44111.0,0.0185894674797669,0.0097708054680238,0.0054861599147604,0.0,318.3896911396968,3.82189547833395,2.918012098212559,9.4,1.5,67.94,12.2,44.0
45,Нижегородская,63788,39311.0,795.0,33257.0,3202946.0,0.0199154153707243,0.0122733883118853,0.0103832534173226,0.0002482089925961,212.32109532600128,5.871914690801017,1.6852148477136442,9.5,1.2,64.99,5.4,64.7
46,Новгородская,14394,8022.0,67.0,5568.0,596508.0,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,134.04792248677026,4.87544499760935,1.4705657062640292,13.9,1.4,55.84,1.5,57.7
47,Новосибирская,100603,16361.0,557.0,13400.0,2798170.0,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,191.22051692920903,5.7354684141934325,1.5674111152459622,14.2,1.9,69.1,10.5,69.0
48,Омская,64025,15913.0,403.0,12447.0,1926665.0,0.0332309976046692,0.0082593497053198,0.0064603862114067,0.0002091697311156,128.61491588637767,4.562551890751888,1.5029960737691228,13.9,1.9,60.1,11.7,70.2
49,Оренбургская,77988,16727.0,129.0,14452.0,1956835.0,0.0398541522407356,0.0085479869278707,0.0073853952939312,6.592277836404193e-05,115.22737742001064,4.527020220208055,1.4136357183547392,14.3,1.9,55.02,7.7,68.4
50,Орловская,17575,11661.0,146.0,9549.0,733498.0,0.0239605288630643,0.0158977938590152,0.0130184404047454,0.0001990462141682,147.87783950566177,5.2432442606648735,1.5132334172604365,13.7,1.6,53.79,7.1,68.4
51,Пензенская,37374,14684.0,172.0,10362.0,1305563.0,0.0286267303837501,0.0112472550156522,0.0079368058071498,0.0001317439296303,138.50513363565517,5.4939463174334175,1.3441575243965524,13.6,1.4,51.99,4.7,67.4
52,Пермский край,97250,14301.0,479.0,10628.0,2599260.0,0.0374144948947008,0.005501950555158,0.0040888560590321,0.00018428321907,157.3330500480564,5.044100157031769,1.5478739355628652,14.0,2.2,57.05,3.6,62.9
53,Приморский край,47439,15448.0,168.0,11791.0,1895868.0,0.025022311679927,0.0081482466078862,0.0062193148468142,8.861376424940977e-05,226.2983506617163,5.744925253527869,1.5718821221940795,13.6,1.9,54.7,3.8,60.7
54,Псковская,13681,9388.0,60.0,4667.0,626115.0,0.021850618496602,0.0149940506137051,0.0074539022384066,9.582904099087228e-05,122.33957652491178,4.385324008420531,1.3826304039484196,16.2,1.9,53.31,5.7,58.1
55,Ростовская,149789,29246.0,912.0,23322.0,4197821.0,0.0356825600710463,0.0069669478522309,0.0055557395134285,0.0002172555714024,152.09234229171162,4.494720204849921,1.5312589881200906,13.3,2.0,57.96,8.6,69.8
56,Рязанская,20656,10277.0,63.0,8133.0,1108847.0,0.0186283590071488,0.0092681857821683,0.0073346458077624,5.681577350166434e-05,168.5406967585911,5.793518558280965,1.4400400875084842,12.7,1.5,58.7,13.2,65.9
57,Самарская,66038,16053.0,291.0,14362.0,3179532.0,0.0207697233429322,0.0050488562467683,0.004517016969793,9.152290337068474e-05,210.3704816870651,6.86425312832522,1.559133359202795,12.9,1.7,64.79,11.4,60.1
58,Санкт-Петербург,130101,83734.0,3797.0,48256.0,5398064.0,0.0241014185826622,0.0155118575844969,0.008939501273049,0.0007034003301924,538.8069702853198,10.086854222417497,2.046459247856341,6.6,0.8,113.31,5.3,62.6
59,Саратовская,75298,19730.0,182.0,13252.0,2421895.0,0.0310905303491687,0.0081465133707282,0.0054717483623361,7.514776652167002e-05,132.53623736018915,5.273919633918512,1.383463207688954,15.5,2.0,60.19,7.4,69.2
60,Сахалинская,4892,7911.0,4.0,5563.0,488257.0,0.0100193135991905,0.0162025326825831,0.0113935898512463,8.192406867694677e-06,296.725223991549,4.814603607669108,2.223932664423524,8.6,1.2,107.44,-0.2,56.9
