,region,week,sum_unemployed,population,infections,deaths,healed,Rt,procent_unemployed,procent_infections,procent_healed,procent_deaths,fin_blago,depo_mean,depo_salary,income_fix,poverty_proc,ex_poverty_proc,social_exp,growth_social_exp,soc_in_total_exp
1406,Новгородская,2020-10-05,0.0006739222273632542,596508.0,0.00044760506145768373,0.0,0.00011064394777605666,0.842105263157895,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.470565706264029,13.9,1.4,43.97,16.3,59.4
1407,Новгородская,2020-10-12,0.0006370409114379019,596508.0,0.0002145822017475038,1.844065796267611e-05,0.0008767694649526914,0.998812351543943,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.4705657062640292,13.9,1.4,43.97,16.3,59.4
1408,Новгородская,2020-10-19,0.0006035124424148545,596508.0,0.00086168165389232,1.6764234511523734e-06,0.0003101383384631891,1.0597609561753,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.0001123203712272,41.36643243404431,117.3513180041173,4.475214720340063,1.470565706264029,13.9,1.4,43.97,16.3,59.4
1409,Новгородская,2020-10-26,0.0003989887813742649,596508.0,0.0007594198233720252,0.0,0.0005968067486102449,1.0580204778157,0.0241304391558872,0.0134482689251443,0.0093343257760164,0.00011232037122720002,41.36643243404431,117.35131800411732,4.475214720340063,1.4705657062640292,13.9,1.3999999999999997,43.97,16.3,59.4
1410,Новосибирская,2020-04-06,0.0002969798118055729,2798170.0,0.0008968865463665198,1.4295057126622042e-06,2.0727832833601962e-05,1.0121359223301,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1411,Новосибирская,2020-04-13,0.0011553979922592267,2798170.0,5.896711064731592e-05,7.862281419642124e-06,0.00026588806255516996,2.57142857142857,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1412,Новосибирская,2020-04-20,0.0018001050686698807,2798170.0,0.00025159300542854795,1.0721292844966531e-06,2.1442585689933062e-06,1.88888888888889,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1413,Новосибирская,2020-04-27,0.001954134309209233,2798170.0,3.43081371038929e-05,3.5737642816555106e-07,8.219657847807675e-06,2.98333333333333,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1414,Новосибирская,2020-05-04,0.0010503293223785546,2798170.0,7.683593205559348e-05,0.0,1.3937680698456491e-05,0.333333333333333,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1415,Новосибирская,2020-05-11,0.0017522166272956967,2798170.0,4.467205352069388e-05,1.0363916416800981e-05,0.00015081285268586254,1.0,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1416,Новосибирская,2020-05-18,0.0018823016471479575,2798170.0,0.00024944874685955466,4.2885171379866124e-06,0.00018798000121507985,1.0,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1417,Новосибирская,2020-05-25,0.0017096888323439963,2798170.0,0.00021621273904015839,3.2163878534899595e-06,8.040969633724899e-05,1.10666666666667,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1418,Новосибирская,2020-06-01,0.001988442446313126,2798170.0,0.00020048817620087414,1.0721292844966531e-06,8.148182562174564e-05,1.10666666666667,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1419,Новосибирская,2020-06-08,0.00132300753706887,2798170.0,0.00021299635118666844,5.360646422483266e-06,7.183266206127576e-05,0.958333333333333,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1420,Новосибирская,2020-06-15,0.001623918489584264,2798170.0,0.00013187190199308833,8.219657847807675e-06,0.0002415864654399125,1.04830917874396,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1421,Новосибирская,2020-06-22,0.001280122365689004,2798170.0,0.00029161916538308967,5.360646422483266e-06,0.00021335372761483397,1.01173708920188,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
1422,Новосибирская,2020-06-29,0.0012611814149962298,2798170.0,0.0002673175682678322,7.504904991476572e-06,0.00021514060975566174,0.983529411764706,0.0359531408027389,0.0058470357412165,0.0047888441374183,0.0001990586704882,45.70565941809734,164.85667418348422,5.463081344207718,1.5674111152459622,14.2,1.9,52.77,17.9,68.1
