,region,sum_infections,population,sum_healed,sum_deathed,sum_unemployed,procent_healed,procent_infected,procent_death,procent_unemployed,depo_mean_19,depo_salary_19,growth_depo_19,curr_depo_perc_19,fin_wealth_19,soceco_wealth_19,depo_mean_20,depo_salary_20,depo_mean_21,depo_salary_21
23,Камчатский край,5673.0,313016.0,4781.0,59.0,192.99658957567505,0.8427639696809448,0.0181236741891788,0.0001884887673473,0.0006165710045993,260.9183313580514,5.232425810338684,32.24414204042194,8.602360047249656,62.46017922770326,25.394,270.1171825082424,5.161606330892044,307.9568898856793,5.36127313044131
24,Карачаево-Черкессия,8977.0,465528.0,6933.0,26.0,969.7220350726948,0.7723070067951432,0.0192834802632709,5.585056108332904e-05,0.0020830584520645,33.898741953290966,1.8041504888864524,20.574528229811296,3.839817513623115,6.338443752643888,16.16,35.45436579539792,1.88131733280613,39.78236063925115,2.051430225048403
25,Карелия,9696.0,614064.0,5660.0,56.0,772.4077356502621,0.5837458745874587,0.0157898850934104,9.11957059850439e-05,0.0012578619421595,138.85634958644525,4.683348041208654,31.154580881791084,8.225259551857937,46.44683039443037,24.784,145.4848354568905,4.769369114112591,172.48892165281225,5.144968319957414
26,Кемеровская,14704.0,2657854.0,11569.0,241.0,2821.1499856743185,0.7867927094668118,0.0055322828116217,9.067465707296188e-05,0.0010614390352797,111.45866364327124,4.823241004332289,30.01522309024369,10.943774763561455,46.2985144050468,39.446,116.06017486287809,4.753788253289701,128.8809415495894,4.862789501371117
27,Кировская,12483.0,1262402.0,8602.0,154.0,990.0806438905717,0.6890971721541296,0.0098882923189285,0.0001219896673167,0.000784283171201,106.4578585640067,4.685471877839584,35.085584327494715,6.552656063089805,37.53593055471031,30.954,110.43075026813963,4.675801853207987,125.8721792903862,4.967135444157146
28,Коми,14163.0,820473.0,11297.0,273.0,887.6220781443251,0.7976417425686648,0.0172619939961461,0.0003327348980405,0.0010818419108786,157.53009690027525,4.643711484411728,16.825218175809063,7.548915412082241,50.94156618657989,36.882,165.45699858496258,4.696880193742373,191.17245787190103,5.153139511214169
29,Костромская,7577.0,633385.0,4952.0,103.0,728.8345856866838,0.6535568166820641,0.011962708305375,0.0001626183127165,0.001150697578387,118.84029770880964,4.806252016713785,21.596930092161458,6.767195278148232,40.68932902014312,25.093,122.05056955879915,4.822703528945931,140.9798813856272,5.190191765768459
30,Краснодарский край,16277.0,5675462.0,10874.0,431.0,6810.838068181818,0.6680592246728513,0.0028679603528311,7.594095423421036e-05,0.0012000499815137,143.98816621475558,4.3038755201846985,29.32263276067141,13.179609949353177,45.789442057790986,58.335,143.7428353850312,4.01292114419406,172.08921898814327,4.366084459930058
31,Крым,10274.0,1912622.0,6814.0,188.0,2043.183925953079,0.663227564726494,0.0053716834795375,9.829438331254164e-05,0.0010682633191258,49.677322841400176,2.347818959573966,68.89371009905216,3.1377008444416368,19.43673508958496,39.986,58.74867067303419,2.67036377645864,71.88135327606861,2.907086730744396
32,Курганская,6044.0,827166.0,4922.0,91.0,978.3969038168912,0.814361350099272,0.007306876733328,0.0001100141930398,0.0011828301741329,72.5373516983926,3.441014966712046,31.93942035301809,5.788891274547046,23.93696048122861,23.553,76.22170156897165,3.5978240574436127,88.21847856628023,3.88957501697608
